DateTime,Transaction,Product,LineItem,Amount,BalanceDetails,JourneyId,LocationDisplay,TransactonTime,OrderDate,Payment,OrderNumber,AuthCode,Total
Dec-30-2023 11:49 AM,Transfer at Bus Stop 50412,3 Zone UPass (N),,$0.00,$5.90,2023-12-30T19:12:00.0000000Z,"Transfer at Bus Stop 50412
3 Zone UPass (N)",11:49 AM,,,,,
Dec-30-2023 11:17 AM,Tap out at Broadway-City Hall Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-30T19:12:00.0000000Z,"Tap out at Broadway-City Hall Stn
3 Zone UPass (N)",11:17 AM,,,,,
Dec-30-2023 11:12 AM,Tap in at King Edward Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-30T19:12:00.0000000Z,"Tap in at King Edward Stn
3 Zone UPass (N)",11:12 AM,,,,,
Dec-29-2023 03:06 PM,Transfer at Bus Stop 50412,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T21:41:00.0000000Z,"Transfer at Bus Stop 50412
3 Zone UPass (N)",03:06 PM,,,,,
Dec-29-2023 02:30 PM,Tap out at Broadway-City Hall Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T21:41:00.0000000Z,"Tap out at Broadway-City Hall Stn
3 Zone UPass (N)",02:30 PM,,,,,
Dec-29-2023 02:23 PM,Transfer at Oakridge-41st Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T21:41:00.0000000Z,"Transfer at Oakridge-41st Stn
3 Zone UPass (N)",02:23 PM,,,,,
Dec-29-2023 01:59 PM,Tap out at Oakridge-41st Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T21:41:00.0000000Z,"Tap out at Oakridge-41st Stn
3 Zone UPass (N)",01:59 PM,,,,,
Dec-29-2023 01:51 PM,Transfer at Broadway-City Hall Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T21:41:00.0000000Z,"Transfer at Broadway-City Hall Stn
3 Zone UPass (N)",01:51 PM,,,,,
Dec-29-2023 01:41 PM,Tap in at Bus Stop 60494,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T21:41:00.0000000Z,"Tap in at Bus Stop 60494
3 Zone UPass (N)",01:41 PM,,,,,
Dec-29-2023 07:07 AM,Tap in at Bus Stop 58037,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T15:07:00.0000000Z,"Tap in at Bus Stop 58037
3 Zone UPass (N)",07:07 AM,,,,,
Dec-28-2023 04:15 PM,Transfer at Bus Stop 60575,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T00:00:00.0000000Z,"Transfer at Bus Stop 60575
3 Zone UPass (N)",04:15 PM,,,,,
Dec-28-2023 04:00 PM,Tap in at Bus Stop 50540,3 Zone UPass (N),,$0.00,$5.90,2023-12-29T00:00:00.0000000Z,"Tap in at Bus Stop 50540
3 Zone UPass (N)",04:00 PM,,,,,
Dec-28-2023 07:35 AM,Tap in at Bus Stop 58037,3 Zone UPass (N),,$0.00,$5.90,2023-12-28T15:35:00.0000000Z,"Tap in at Bus Stop 58037
3 Zone UPass (N)",07:35 AM,,,,,
Dec-27-2023 04:26 PM,Transfer at Bus Stop 60575,3 Zone UPass (N),,$0.00,$5.90,2023-12-28T00:16:00.0000000Z,"Transfer at Bus Stop 60575
3 Zone UPass (N)",04:26 PM,,,,,
Dec-27-2023 04:16 PM,Tap in at Bus Stop 50540,3 Zone UPass (N),,$0.00,$5.90,2023-12-28T00:16:00.0000000Z,"Tap in at Bus Stop 50540
3 Zone UPass (N)",04:16 PM,,,,,
Dec-27-2023 07:40 AM,Tap in at Bus Stop 58037,3 Zone UPass (N),,$0.00,$5.90,2023-12-27T15:40:00.0000000Z,"Tap in at Bus Stop 58037
3 Zone UPass (N)",07:40 AM,,,,,
Dec-26-2023 05:42 PM,Transfer at Bus Stop 50303,3 Zone UPass (N),,$0.00,$5.90,2023-12-27T00:14:00.0000000Z,"Transfer at Bus Stop 50303
3 Zone UPass (N)",05:42 PM,,,,,
Dec-26-2023 04:29 PM,Tap out at Oakridge-41st Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-27T00:14:00.0000000Z,"Tap out at Oakridge-41st Stn
3 Zone UPass (N)",04:29 PM,,,,,
Dec-26-2023 04:20 PM,Transfer at Broadway-City Hall Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-27T00:14:00.0000000Z,"Transfer at Broadway-City Hall Stn
3 Zone UPass (N)",04:20 PM,,,,,
Dec-26-2023 04:14 PM,Tap in at Bus Stop 60494,3 Zone UPass (N),,$0.00,$5.90,2023-12-27T00:14:00.0000000Z,"Tap in at Bus Stop 60494
3 Zone UPass (N)",04:14 PM,,,,,
Dec-26-2023 04:14 PM,Loaded at Bus Stop 60494,3 Zone UPass (N),,$0.00,$5.90,,"Loaded at Bus Stop 60494
3 Zone UPass (N)",04:14 PM,,,,,
Dec-24-2023 03:11 PM,Tap in at Bus Stop 50537,3 Zone UPass (N),,$0.00,$5.90,2023-12-24T23:11:00.0000000Z,"Tap in at Bus Stop 50537
3 Zone UPass (N)",03:11 PM,,,,,
Dec-23-2023 03:26 PM,Transfer at Bus Stop 51574,3 Zone UPass (N),,$0.00,$5.90,2023-12-23T22:20:00.0000000Z,"Transfer at Bus Stop 51574
3 Zone UPass (N)",03:26 PM,,,,,
Dec-23-2023 03:10 PM,Transfer at Bus Stop 50471,3 Zone UPass (N),,$0.00,$5.90,2023-12-23T22:20:00.0000000Z,"Transfer at Bus Stop 50471
3 Zone UPass (N)",03:10 PM,,,,,
Dec-23-2023 02:20 PM,Tap in at Bus Stop 60386,3 Zone UPass (N),,$0.00,$5.90,2023-12-23T22:20:00.0000000Z,"Tap in at Bus Stop 60386
3 Zone UPass (N)",02:20 PM,,,,,
Dec-23-2023 10:28 AM,Transfer at Bus Stop 50467,3 Zone UPass (N),,$0.00,$5.90,2023-12-23T18:22:00.0000000Z,"Transfer at Bus Stop 50467
3 Zone UPass (N)",10:28 AM,,,,,
Dec-23-2023 10:22 AM,Tap in at Bus Stop 50423,3 Zone UPass (N),,$0.00,$5.90,2023-12-23T18:22:00.0000000Z,"Tap in at Bus Stop 50423
3 Zone UPass (N)",10:22 AM,,,,,
Dec-22-2023 10:54 PM,Transfer at Bus Stop 60517,3 Zone UPass (N),,$0.00,$5.90,2023-12-23T06:38:00.0000000Z,"Transfer at Bus Stop 60517
3 Zone UPass (N)",10:54 PM,,,,,
Dec-22-2023 10:38 PM,Tap in at Bus Stop 50871,3 Zone UPass (N),,$0.00,$5.90,2023-12-23T06:38:00.0000000Z,"Tap in at Bus Stop 50871
3 Zone UPass (N)",10:38 PM,,,,,
Dec-22-2023 08:21 PM,Tap in at Bus Stop 58501,3 Zone UPass (N),,$0.00,$5.90,2023-12-23T04:21:00.0000000Z,"Tap in at Bus Stop 58501
3 Zone UPass (N)",08:21 PM,,,,,
Dec-22-2023 05:55 PM,Tap in at Bus Stop 50471,3 Zone UPass (N),,$0.00,$5.90,2023-12-23T01:55:00.0000000Z,"Tap in at Bus Stop 50471
3 Zone UPass (N)",05:55 PM,,,,,
Dec-22-2023 03:06 PM,Tap out at Oakridge-41st Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-22T22:52:00.0000000Z,"Tap out at Oakridge-41st Stn
3 Zone UPass (N)",03:06 PM,,,,,
Dec-22-2023 02:52 PM,Tap in at Waterfront Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-22T22:52:00.0000000Z,"Tap in at Waterfront Stn
3 Zone UPass (N)",02:52 PM,,,,,
Dec-22-2023 02:51 PM,Refund at Waterfront Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-22T22:50:00.0000000Z,"Refund at Waterfront Stn
3 Zone UPass (N)",02:51 PM,,,,,
Dec-22-2023 02:50 PM,Tap in at Waterfront Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-22T22:50:00.0000000Z,"Tap in at Waterfront Stn
3 Zone UPass (N)",02:50 PM,,,,,
Dec-22-2023 08:04 AM,Tap in at Bus Stop 50310,3 Zone UPass (N),,$0.00,$5.90,2023-12-22T16:04:00.0000000Z,"Tap in at Bus Stop 50310
3 Zone UPass (N)",08:04 AM,,,,,
Dec-21-2023 05:25 PM,Transfer at Bus Stop 60575,3 Zone UPass (N),,$0.00,$5.90,2023-12-22T00:38:00.0000000Z,"Transfer at Bus Stop 60575
3 Zone UPass (N)",05:25 PM,,,,,
Dec-21-2023 05:10 PM,Transfer at Bus Stop 50540,3 Zone UPass (N),,$0.00,$5.90,2023-12-22T00:38:00.0000000Z,"Transfer at Bus Stop 50540
3 Zone UPass (N)",05:10 PM,,,,,
Dec-21-2023 04:38 PM,Tap in at Bus Stop 50526,3 Zone UPass (N),,$0.00,$5.90,2023-12-22T00:38:00.0000000Z,"Tap in at Bus Stop 50526
3 Zone UPass (N)",04:38 PM,,,,,
Dec-21-2023 08:27 AM,Tap out at Waterfront Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-21T16:10:00.0000000Z,"Tap out at Waterfront Stn
3 Zone UPass (N)",08:27 AM,,,,,
Dec-21-2023 08:14 AM,Transfer at King Edward Stn,3 Zone UPass (N),,$0.00,$5.90,2023-12-21T16:10:00.0000000Z,"Transfer at King Edward Stn
3 Zone UPass (N)",08:14 AM,,,,,
Dec-21-2023 08:10 AM,Tap in at Bus Stop 50471,3 Zone UPass (N),,$0.00,$5.90,2023-12-21T16:10:00.0000000Z,"Tap in at Bus Stop 50471
3 Zone UPass (N)",08:10 AM,,,,,
Dec-20-2023 07:49 PM,Tap in at Bus Stop 50412,3 Zone UPass (N),,$0.00,$5.90,2023-12-21T03:49:00.0000000Z,"Tap in at Bus Stop 50412
3 Zone UPass (N)",07:49 PM,,,,,
